symbol,date,open,high,low,close,close_unadjusted,volume,is_roll_date
ZN,2014-07-29,119.7969,120.0938,119.6875,120.0312,125.375,1081843,0
ZN,2014-07-30,120.0312,120.0469,119.0938,119.2656,124.6094,1761307,0
ZN,2014-07-31,119.2656,119.4219,118.8906,119.2969,124.6406,1772729,0
ZN,2014-08-01,119.2969,120.0469,119.0625,119.9844,125.3281,2188446,0
ZN,2014-08-03,119.9062,119.9531,119.8906,119.9375,125.2812,4656,0
ZN,2014-08-04,119.9375,120.2188,119.8281,120.0625,125.4062,718802,0
ZN,2014-08-05,120.0625,120.2031,119.75,120.0312,125.375,1119858,0
ZN,2014-08-06,120.0312,120.4219,119.9688,120.1719,125.5156,1177632,0
ZN,2014-08-07,120.1875,120.6719,120.0469,120.6094,125.9531,1284331,0
ZN,2014-08-08,120.5938,121.2031,120.5156,120.5312,125.875,1685811,0
ZN,2014-08-10,120.4844,120.5469,120.4531,120.4844,125.8281,11560,0
ZN,2014-08-11,120.4688,120.6562,120.3906,120.5156,125.8594,742783,0
ZN,2014-08-12,120.5156,120.6562,120.3281,120.3594,125.7031,807316,0
ZN,2014-08-13,120.3594,120.875,120.2188,120.7812,126.125,1273587,0
ZN,2014-08-14,120.7812,121.0938,120.6719,120.8906,126.2344,1205914,0
ZN,2014-08-15,120.875,121.6875,120.8281,121.3125,126.6562,1478073,0
ZN,2014-08-17,121.2812,121.3125,121.125,121.1719,126.5156,20355,0
ZN,2014-08-18,121.1719,121.2344,120.9062,120.9531,126.2969,688080,0
ZN,2014-08-19,120.9531,121.25,120.8594,120.9375,126.2812,866003,0
ZN,2014-08-20,120.9219,120.9531,120.4531,120.5312,125.875,1037408,0
ZN,2014-08-21,120.5312,120.7812,120.4375,120.625,125.9688,999406,0
ZN,2014-08-22,120.6406,120.8906,120.2656,120.5469,125.8906,1216115,0
ZN,2014-08-25,120.5,120.7344,120.4688,120.6719,126.0156,638327,0
ZN,2014-08-26,120.6875,120.8594,120.5938,120.6719,126.0156,916450,0
ZN,2014-08-27,120.6719,120.9688,120.6719,120.9219,126.2656,874415,0
ZN,2014-08-28,120.9219,121.2344,120.8906,121.0312,126.375,781827,0
ZN,2014-08-29,121.0469,121.125,120.8906,120.9688,126.3125,145782,0
ZN,2014-08-31,121.0781,121.1406,120.4844,120.9531,126.2969,122247,0
