symbol,date,open,high,low,close,close_unadjusted,volume,is_roll_date
6E,2018-11-13,1.1411,1.1472,1.1405,1.1472,1.1302,73,0
6E,2018-11-14,1.148,1.1512,1.144,1.1487,1.1317,36,0
6E,2018-11-15,1.1491,1.1511,1.1465,1.1495,1.1325,34,0
6E,2018-11-16,1.1525,1.1587,1.1498,1.1587,1.1417,15,0
6E,2018-11-19,1.1578,1.1603,1.1578,1.1603,1.1433,40,0
6E,2018-11-20,1.1647,1.1665,1.1551,1.1565,1.1395,179358,0
6E,2018-11-21,1.1565,1.1618,1.1559,1.1579,1.1408,180149,0
6E,2018-11-22,1.1579,1.1624,1.1575,1.1592,1.1422,71602,0
6E,2018-11-23,1.1592,1.1611,1.152,1.1523,1.1353,124052,0
6E,2018-11-25,1.1525,1.1527,1.1519,1.1527,1.1357,1290,0
6E,2018-11-26,1.1526,1.1573,1.1512,1.152,1.135,140852,0
6E,2018-11-27,1.1521,1.1531,1.1465,1.1484,1.1314,183802,0
6E,2018-11-28,1.1484,1.1576,1.1453,1.1552,1.1381,223625,0
6E,2018-11-29,1.1552,1.1586,1.1533,1.1576,1.1406,211164,0
6E,2018-11-30,1.1575,1.1584,1.1488,1.1505,1.1335,180705,0
6E,2018-12-02,1.1517,1.1525,1.151,1.1524,1.1354,3055,0
6E,2018-12-03,1.1524,1.1562,1.1501,1.1535,1.1365,171633,0
6E,2018-12-04,1.1536,1.1601,1.1499,1.1523,1.1353,232868,0
6E,2018-12-05,1.1523,1.1542,1.1491,1.1527,1.1357,107648,0
6E,2018-12-06,1.1527,1.159,1.1499,1.1553,1.1383,231462,0
6E,2018-12-07,1.1553,1.1601,1.1537,1.156,1.1389,199469,0
6E,2018-12-09,1.1577,1.1583,1.157,1.1576,1.1405,2775,0
6E,2018-12-10,1.1576,1.1619,1.1526,1.1531,1.1361,198358,0
6E,2018-12-11,1.1532,1.1576,1.1481,1.1496,1.1326,200745,0
6E,2018-12-12,1.1496,1.1562,1.1489,1.1545,1.1375,190089,0
6E,2018-12-13,1.1545,1.1566,1.1503,1.1534,1.1363,175524,0
6E,2018-12-14,1.1534,1.1536,1.144,1.1476,1.1305,43793,0
6E,2018-12-16,1.1474,1.1479,1.1474,1.1476,1.1306,49,0
6E,2018-12-17,1.1476,1.1524,1.1473,1.1511,1.1341,3906,0
6E,2018-12-18,1.155,1.1603,1.1542,1.1575,1.1404,4040,0
6E,2018-12-19,1.1585,1.1642,1.1567,1.1584,1.1414,2292,0
6E,2018-12-20,1.1581,1.1683,1.1575,1.1644,1.1474,396,0
6E,2018-12-21,1.1643,1.1664,1.155,1.1554,1.1383,437,0
6E,2018-12-23,1.1562,1.1562,1.1562,1.1562,1.1392,1,0
6E,2018-12-24,1.157,1.1626,1.157,1.1605,1.1435,192,0
