date,cum_pnl
2012-03-13,-0.073189
2012-03-14,-0.053227
2012-03-15,-0.053227
2012-03-16,-0.053227
2012-03-19,-0.053227
2012-03-20,-0.053227
2012-03-21,-0.053227
2012-03-22,-0.049958
2012-03-23,-0.057247
2012-03-25,-0.057523
2012-03-26,-0.066814
2012-03-27,-0.064242
2012-03-28,-0.057523
2012-03-29,-0.055966
2012-03-30,-0.058525
2012-04-01,-0.060078
2012-04-02,-0.061663
2012-04-03,-0.051281
2012-04-04,-0.042686
2012-04-05,-0.045629
2012-04-08,-0.049993
2012-04-09,-0.049122
2012-04-10,-0.055724
2012-04-11,-0.055343
2012-04-12,-0.061112
2012-04-13,-0.055170
2012-04-16,-0.053019
2012-04-17,-0.052393
2012-04-18,-0.048878
2012-04-19,-0.049191
2012-04-20,-0.049888
2012-04-23,-0.048319
2012-04-24,-0.049435
2012-04-25,-0.050097
2012-04-26,-0.055274
2012-04-27,-0.056693
2012-04-30,-0.057765
2012-05-01,-0.056935
2012-05-02,-0.053609
2012-05-03,-0.047342
2012-05-04,-0.047447
2012-05-06,-0.048808
2012-05-07,-0.048040
2012-05-08,-0.037021
2012-05-09,-0.030933
2012-05-10,-0.032812
2012-05-11,-0.031110
2012-05-14,-0.021229
2012-05-15,-0.014646
2012-05-16,-0.012804
2012-05-17,-0.025843
2012-05-18,-0.032174
2012-05-20,-0.031926
2012-05-21,-0.030435
2012-05-22,-0.023806
2012-05-23,-0.021157
2012-05-24,-0.019901
2012-05-25,-0.022769
2012-05-28,-0.026057
2012-05-30,-0.021659
2012-05-31,-0.020691
2012-06-01,-0.066677
2012-06-03,-0.063624
2012-06-04,-0.064448
2012-06-05,-0.063967
2012-06-06,-0.065512
2012-06-07,-0.054372
2012-06-08,-0.054372
2012-06-10,-0.054372
2012-06-11,-0.054372
2012-06-12,-0.054372
2012-06-13,-0.057022
2012-06-14,-0.059116
2012-06-15,-0.060624
2012-06-18,-0.060624
2012-06-19,-0.059664
2012-06-20,-0.059664
2012-06-21,-0.059664
2012-06-22,-0.059664
2012-06-25,-0.059664
2012-06-26,-0.059664
2012-06-27,-0.059699
2012-06-28,-0.067054
2012-06-29,-0.067054
