date,cum_pnl
2016-08-05,-0.309189
2016-08-07,-0.308922
2016-08-08,-0.309699
2016-08-09,-0.309699
2016-08-10,-0.310550
2016-08-11,-0.308098
2016-08-12,-0.307807
2016-08-14,-0.307758
2016-08-15,-0.306184
2016-08-16,-0.308219
2016-08-17,-0.307734
2016-08-18,-0.307492
2016-08-19,-0.307516
2016-08-21,-0.307686
2016-08-22,-0.307564
2016-08-23,-0.306450
2016-08-24,-0.309796
2016-08-25,-0.310064
2016-08-26,-0.310015
2016-08-28,-0.310234
2016-08-29,-0.308753
2016-08-30,-0.310914
2016-08-31,-0.310866
2016-09-01,-0.310452
2016-09-02,-0.308510
2016-09-04,-0.308292
2016-09-05,-0.309214
2016-09-06,-0.305652
2016-09-07,-0.305749
2016-09-08,-0.308728
2016-09-09,-0.333886
2016-09-11,-0.334358
2016-09-12,-0.324525
2016-09-13,-0.328081
2016-09-14,-0.326672
2016-09-15,-0.319976
2016-09-16,-0.319215
2016-09-18,-0.318358
2016-09-19,-0.321670
2016-09-20,-0.320761
2016-09-21,-0.316302
2016-09-22,-0.312593
2016-09-23,-0.315276
2016-09-25,-0.315276
2016-09-26,-0.319706
2016-09-27,-0.314910
2016-09-28,-0.314080
2016-09-29,-0.317207
2016-09-30,-0.314690
2016-10-02,-0.313544
2016-10-03,-0.314178
2016-10-04,-0.315765
2016-10-05,-0.313568
2016-10-06,-0.314714
2016-10-07,-0.315056
2016-10-09,-0.314202
2016-10-10,-0.311620
2016-10-11,-0.311620
2016-10-12,-0.313336
2016-10-13,-0.314883
2016-10-14,-0.314883
2016-10-16,-0.314883
2016-10-17,-0.314883
2016-10-18,-0.314883
2016-10-19,-0.314883
2016-10-20,-0.314883
2016-10-21,-0.314883
2016-10-23,-0.314883
2016-10-24,-0.314883
2016-10-25,-0.314883
2016-10-26,-0.314883
2016-10-27,-0.314883
2016-10-28,-0.314883
2016-10-30,-0.314883
2016-10-31,-0.314809
2016-11-01,-0.310232
2016-11-02,-0.305460
2016-11-03,-0.302382
2016-11-04,-0.300889
2016-11-06,-0.306946
2016-11-07,-0.312080
2016-11-08,-0.316159
2016-11-09,-0.316281
2016-11-10,-0.308479
2016-11-11,-0.308923
2016-11-13,-0.311390
2016-11-14,-0.304244
2016-11-15,-0.311563
2016-11-16,-0.312941
2016-11-17,-0.317310
2016-11-18,-0.315545
2016-11-20,-0.315545
2016-11-21,-0.315545
2016-11-22,-0.315545
2016-11-23,-0.315545
2016-11-24,-0.315545
2016-11-25,-0.315545
2016-11-27,-0.314691
2016-11-28,-0.314691
2016-11-29,-0.314691
2016-11-30,-0.314691
2016-12-01,-0.314691
2016-12-02,-0.314914
2016-12-04,-0.314914
2016-12-05,-0.321529
2016-12-06,-0.321529
