symbol,date,open,high,low,close,volume
6J,2023-07-05,0.0069345,0.00695,0.0069215,0.006926,352
6J,2023-07-06,0.006936,0.0069735,0.006924,0.0069465,1457
6J,2023-07-07,0.0069545,0.007047,0.0069445,0.007047,1206
6J,2023-07-09,0.007039,0.007039,0.0070375,0.0070385,12
6J,2023-07-10,0.0070425,0.007085,0.007,0.0070845,497
6J,2023-07-11,0.0070815,0.0071435,0.007076,0.0071435,719
6J,2023-07-12,0.0071575,0.0072405,0.007154,0.0072285,796
6J,2023-07-13,0.007234,0.0072505,0.0072005,0.007243,663
6J,2023-07-14,0.0072465,0.007286,0.0071885,0.007203,1278
6J,2023-07-16,0.007204,0.007204,0.007201,0.007201,8
6J,2023-07-17,0.0072155,0.0072465,0.0071755,0.0071915,126
6J,2023-07-18,0.007232,0.0072845,0.0072185,0.0072185,776
6J,2023-07-19,0.0072245,0.007228,0.007172,0.0071875,269
6J,2023-07-20,0.0071935,0.007212,0.007143,0.0071755,827
6J,2023-07-21,0.007171,0.0071725,0.007069,0.0070785,671
6J,2023-07-23,0.0070795,0.0070795,0.0070795,0.0070795,1
6J,2023-07-24,0.007075,0.007124,0.007075,0.007085,711
6J,2023-07-25,0.007087,0.0071185,0.00708,0.0071165,355
6J,2023-07-26,0.0071105,0.0071665,0.0071045,0.007138,427
6J,2023-07-27,0.007141,0.0072205,0.0070975,0.007216,835
6J,2023-07-28,0.0072215,0.007254,0.007101,0.007101,1282
6J,2023-07-30,0.0071185,0.0071185,0.0071185,0.0071185,2
6J,2023-07-31,0.00712,0.007124,0.007025,0.007046,372
6J,2023-08-01,0.007039,0.0070425,0.006981,0.007011,1335
6J,2023-08-02,0.0070075,0.007042,0.0069835,0.006987,574
6J,2023-08-03,0.006983,0.007045,0.0069605,0.0070205,351
6J,2023-08-04,0.007023,0.0070725,0.0070125,0.007061,231
6J,2023-08-06,0.007061,0.007061,0.007061,0.007061,2
6J,2023-08-07,0.007059,0.007068,0.007023,0.007023,42
6J,2023-08-08,0.0070045,0.0070045,0.0069775,0.006979,119
6J,2023-08-09,0.0069835,0.006993,0.00696,0.006961,107
6J,2023-08-10,0.0069565,0.006979,0.0069045,0.006905,345
6J,2023-08-11,0.0069055,0.0069185,0.0068995,0.0068995,57
6J,2023-08-14,0.0069055,0.006909,0.0068795,0.0068795,105
6J,2023-08-15,0.006912,0.006928,0.006892,0.006902,119202
6J,2023-08-16,0.006902,0.006917,0.006865,0.006865,107606
6J,2023-08-17,0.006865,0.0069,0.0068545,0.0068935,134913
6J,2023-08-18,0.006894,0.0069315,0.0068895,0.00691,117700
6J,2023-08-20,0.006909,0.006914,0.006905,0.006911,2744
6J,2023-08-21,0.0069115,0.0069205,0.006861,0.006867,111704
6J,2023-08-22,0.0068675,0.006902,0.006859,0.0068875,84430
6J,2023-08-23,0.0068875,0.0069465,0.006886,0.0069365,148606
6J,2023-08-24,0.0069365,0.0069395,0.0068695,0.0068705,133367
6J,2023-08-25,0.0068705,0.006886,0.006843,0.0068505,133561
6J,2023-08-27,0.0068515,0.0068535,0.006843,0.006846,4834
6J,2023-08-28,0.006846,0.006859,0.006837,0.006849,96423
6J,2023-08-29,0.0068495,0.0068865,0.0068065,0.0068705,205859
6J,2023-08-30,0.006871,0.0068905,0.0068445,0.0068615,144118
6J,2023-08-31,0.0068615,0.0068965,0.006852,0.0068895,145274
6J,2023-09-01,0.0068895,0.00694,0.006851,0.0068515,187323
6J,2023-09-03,0.006856,0.006863,0.0068525,0.006861,3746
6J,2023-09-04,0.006861,0.006862,0.006837,0.006838,54188
6J,2023-09-05,0.0068375,0.00684,0.006779,0.0067935,150776
6J,2023-09-06,0.006794,0.0068145,0.006777,0.006779,135087
6J,2023-09-07,0.006779,0.0068105,0.006772,0.0067955,118775
6J,2023-09-08,0.0067955,0.0068305,0.0067705,0.006773,115755
6J,2023-09-10,0.006823,0.006823,0.006797,0.0068045,14166
6J,2023-09-11,0.006804,0.0068615,0.0068035,0.006824,187859
6J,2023-09-12,0.006824,0.006835,0.006798,0.0068005,98093
6J,2023-09-13,0.0068005,0.006804,0.006772,0.0067885,119993
6J,2023-09-14,0.0067885,0.0068035,0.006777,0.006781,117631
6J,2023-09-15,0.006782,0.006787,0.0067585,0.006764,14102
6J,2023-09-17,0.006768,0.006768,0.0067625,0.0067625,35
6J,2023-09-18,0.006763,0.006777,0.006763,0.0067695,1124
6J,2023-09-19,0.006808,0.006808,0.006792,0.0067965,290
6J,2023-09-20,0.006796,0.00682,0.0067675,0.006768,852
6J,2023-09-21,0.006767,0.0068125,0.0067615,0.0067975,1550
6J,2023-09-22,0.0067955,0.0067995,0.0067615,0.0067615,378
6J,2023-09-24,0.006762,0.0067645,0.00676,0.00676,41
6J,2023-09-25,0.0067595,0.006765,0.006736,0.006741,625
6J,2023-09-26,0.006743,0.006743,0.006725,0.00673,540
6J,2023-09-27,0.0067305,0.006738,0.0067015,0.006709,598
6J,2023-09-28,0.006706,0.0067215,0.006706,0.006717,258
6J,2023-09-29,0.006712,0.006744,0.006704,0.006707,188
6J,2023-10-01,0.0067,0.006704,0.0067,0.006701,22
6J,2023-10-02,0.006702,0.006702,0.006682,0.006687,183
6J,2023-10-03,0.0066875,0.006801,0.0066765,0.006717,559
6J,2023-10-04,0.006717,0.006735,0.00671,0.006722,397
6J,2023-10-05,0.006722,0.006752,0.006716,0.006741,163
6J,2023-10-06,0.0067405,0.0067405,0.0066945,0.006704,312
6J,2023-10-09,0.006711,0.006747,0.0067085,0.006747,366
6J,2023-10-10,0.0067395,0.006742,0.0067135,0.0067365,68
6J,2023-10-11,0.0067375,0.006742,0.006704,0.00671,261
6J,2023-10-12,0.0067065,0.0067095,0.0066765,0.006677,311
6J,2023-10-13,0.0066785,0.006691,0.0066755,0.0066885,462
6J,2023-10-16,0.0066915,0.006692,0.006683,0.0066835,238
6J,2023-10-17,0.006718,0.0067235,0.006698,0.0067035,738
6J,2023-10-18,0.006707,0.0067105,0.006697,0.006697,78
6J,2023-10-19,0.0067035,0.0067035,0.006692,0.0066995,189
6J,2023-10-20,0.006697,0.0066985,0.00669,0.0066965,95
6J,2023-10-22,0.006695,0.0066955,0.006695,0.006695,41
6J,2023-10-23,0.006692,0.006708,0.0066895,0.0067015,278
6J,2023-10-24,0.006705,0.006717,0.0066905,0.006693,122
6J,2023-10-25,0.0066915,0.006694,0.0066725,0.0066795,87
6J,2023-10-26,0.006674,0.006691,0.006649,0.0066675,484
6J,2023-10-27,0.0066665,0.0067065,0.006666,0.0066945,104
6J,2023-10-29,0.006702,0.006702,0.006693,0.006693,24
6J,2023-10-30,0.0066935,0.006735,0.0066905,0.00672,226
6J,2023-10-31,0.006719,0.006719,0.0066045,0.0066205,680
6J,2023-11-01,0.00662,0.006649,0.006616,0.0066485,347
6J,2023-11-02,0.006651,0.006678,0.006651,0.006654,328
6J,2023-11-03,0.006659,0.00671,0.0066565,0.006704,137
6J,2023-11-05,0.0067005,0.0067005,0.0067005,0.0067005,1
6J,2023-11-06,0.0066925,0.0066975,0.006674,0.006674,86
6J,2023-11-07,0.0066715,0.0066715,0.006644,0.006658,129
6J,2023-11-08,0.0066455,0.006651,0.0066255,0.006629,43
6J,2023-11-09,0.006627,0.006634,0.0066065,0.0066065,181
6J,2023-11-10,0.006608,0.006613,0.006599,0.0066005,200
6J,2023-11-13,0.0065955,0.00661,0.0065825,0.0065975,38
6J,2023-11-14,0.0066295,0.0066955,0.006611,0.0066795,212837
6J,2023-11-15,0.00668,0.006699,0.006638,0.0066445,218698
6J,2023-11-16,0.006644,0.006685,0.006634,0.006666,181490
6J,2023-11-17,0.006666,0.006733,0.0066625,0.0067145,206116
6J,2023-11-19,0.0067125,0.0067125,0.0066975,0.0066975,4592
6J,2023-11-20,0.006698,0.006782,0.0066965,0.0067665,231417
6J,2023-11-21,0.0067665,0.0068235,0.006757,0.006774,231459
6J,2023-11-22,0.0067745,0.00678,0.0067015,0.006714,211919
6J,2023-11-23,0.0067145,0.0067405,0.006704,0.006705,84910
6J,2023-11-24,0.0067055,0.0067255,0.006702,0.0067125,78952
6J,2023-11-26,0.0067105,0.0067105,0.0067065,0.006707,2692
6J,2023-11-27,0.0067075,0.006761,0.006703,0.006759,146750
6J,2023-11-28,0.0067585,0.0068225,0.00674,0.00682,201422
6J,2023-11-29,0.00682,0.0068385,0.006781,0.006817,206360
6J,2023-11-30,0.0068165,0.0068255,0.006749,0.006772,188260
6J,2023-12-01,0.0067725,0.0068345,0.0067565,0.006828,194000
6J,2023-12-03,0.006832,0.0068535,0.0068285,0.006847,11608
6J,2023-12-04,0.0068475,0.0068535,0.0067965,0.006802,157412
6J,2023-12-05,0.0068025,0.006837,0.006798,0.006806,138711
6J,2023-12-06,0.0068065,0.0068205,0.006792,0.0068035,119850
6J,2023-12-07,0.0068035,0.0070725,0.0068035,0.006942,366479
6J,2023-12-08,0.006942,0.007026,0.006895,0.006907,290227
6J,2023-12-10,0.006904,0.0069135,0.0069005,0.006905,4829
6J,2023-12-11,0.006905,0.0069105,0.0068295,0.006853,178745
6J,2023-12-12,0.0068535,0.0069165,0.0068495,0.0068875,132643
6J,2023-12-13,0.006888,0.0070265,0.0068545,0.007005,180132
6J,2023-12-14,0.007005,0.007097,0.006999,0.0070305,183825
6J,2023-12-15,0.0070305,0.0070715,0.007021,0.0070365,24894
6J,2023-12-17,0.007032,0.007032,0.007031,0.007031,10
6J,2023-12-18,0.007028,0.007038,0.006991,0.0069915,960
6J,2023-12-19,0.0070425,0.0070595,0.0069305,0.0069825,754
6J,2023-12-20,0.0069775,0.0070085,0.006971,0.007,515
6J,2023-12-21,0.0070025,0.007067,0.006993,0.0070595,1351
6J,2023-12-22,0.0070735,0.0070735,0.0070385,0.0070465,600
6J,2023-12-25,0.00705,0.0070595,0.00705,0.007056,25
6J,2023-12-26,0.0070525,0.007062,0.007036,0.0070425,344
6J,2023-12-27,0.007038,0.0070865,0.007024,0.0070865,426
6J,2023-12-28,0.0070925,0.007143,0.0070735,0.0070845,1180
6J,2023-12-29,0.007081,0.007114,0.00706,0.0071045,706
6J,2024-01-01,0.0071135,0.0071135,0.0071005,0.0071005,9
6J,2024-01-02,0.0070995,0.0070995,0.0070455,0.007052,774
6J,2024-01-03,0.0070515,0.0070615,0.0069715,0.0070035,799
6J,2024-01-04,0.0070035,0.007007,0.0069145,0.006925,771
6J,2024-01-05,0.0069175,0.006956,0.006858,0.006922,779
6J,2024-01-07,0.006913,0.0069135,0.00691,0.0069135,5
6J,2024-01-08,0.00692,0.0069685,0.0069185,0.0069385,387
6J,2024-01-09,0.006947,0.0069755,0.006922,0.0069295,434
6J,2024-01-10,0.0069255,0.006927,0.0068645,0.0068645,279
6J,2024-01-11,0.0068735,0.0068975,0.006838,0.006897,555
6J,2024-01-12,0.006893,0.006927,0.006876,0.006927,147
6J,2024-01-14,0.0069315,0.006933,0.006926,0.006926,5
6J,2024-01-15,0.0069265,0.0069355,0.006889,0.0068955,128
6J,2024-01-16,0.006904,0.006904,0.006824,0.006825,430
6J,2024-01-17,0.0068255,0.006833,0.006769,0.0067815,451
6J,2024-01-18,0.006782,0.0068025,0.0067755,0.0067825,284
6J,2024-01-19,0.0067835,0.0067925,0.006752,0.006781,408
6J,2024-01-21,0.006778,0.0067825,0.006778,0.0067795,5
6J,2024-01-22,0.006781,0.0068035,0.006773,0.006781,180
6J,2024-01-23,0.0067785,0.00683,0.006753,0.006772,188
6J,2024-01-24,0.006772,0.006846,0.006772,0.0068005,423
6J,2024-01-25,0.006799,0.006821,0.006782,0.006802,276
6J,2024-01-26,0.0067885,0.006803,0.006771,0.006773,158
6J,2024-01-28,0.0067735,0.0067735,0.0067735,0.0067735,1
6J,2024-01-29,0.0067695,0.0068125,0.006764,0.0068005,215
6J,2024-01-30,0.0068025,0.006819,0.006782,0.0067975,144
6J,2024-01-31,0.0068075,0.0068675,0.006782,0.0068195,510
6J,2024-02-01,0.006819,0.00687,0.006816,0.0068455,322
6J,2024-02-02,0.006843,0.0068535,0.0067465,0.006758,374
6J,2024-02-04,0.0067495,0.0067495,0.006742,0.0067475,23
6J,2024-02-05,0.006747,0.0067575,0.006733,0.00674,210
6J,2024-02-06,0.0067405,0.0067815,0.0067355,0.0067785,240
6J,2024-02-07,0.006776,0.0067845,0.0067595,0.006761,153
6J,2024-02-08,0.006763,0.006767,0.0066985,0.006704,201
6J,2024-02-09,0.006707,0.006713,0.0066935,0.0067065,129
6J,2024-02-11,0.006711,0.0067115,0.006711,0.0067115,6
6J,2024-02-12,0.0067115,0.0067205,0.006697,0.006702,174
6J,2024-02-13,0.006699,0.006704,0.006635,0.0066425,183
6J,2024-02-14,0.0066405,0.0066545,0.0066405,0.0066475,63
6J,2024-02-15,0.006648,0.0066845,0.006648,0.006668,152
6J,2024-02-16,0.006665,0.006665,0.006639,0.0066495,24
6J,2024-02-18,0.0066925,0.006695,0.006689,0.00669,2212
6J,2024-02-19,0.0066895,0.006702,0.006682,0.006683,41674
6J,2024-02-20,0.0066835,0.0067095,0.006675,0.0066925,113715
6J,2024-02-21,0.0066925,0.006698,0.006673,0.006675,93315
6J,2024-02-22,0.006675,0.0066895,0.0066595,0.006669,118155
6J,2024-02-23,0.0066695,0.0066775,0.006656,0.0066665,107249
6J,2024-02-25,0.006669,0.0066695,0.006664,0.006667,2243
6J,2024-02-26,0.006667,0.0066765,0.006652,0.0066625,93959
6J,2024-02-27,0.006663,0.006685,0.006661,0.0066645,113155
6J,2024-02-28,0.0066645,0.0066705,0.0066495,0.006655,98023
6J,2024-02-29,0.0066555,0.00672,0.006655,0.0066795,246256
6J,2024-03-01,0.0066795,0.006681,0.0066505,0.006677,181464
6J,2024-03-03,0.0066775,0.00668,0.0066745,0.006676,2643
6J,2024-03-04,0.0066765,0.0066895,0.0066565,0.0066605,105269
6J,2024-03-05,0.0066605,0.0066945,0.0066565,0.0066775,135697
6J,2024-03-06,0.006678,0.0067205,0.006676,0.0067095,166294
6J,2024-03-07,0.00671,0.0067865,0.0067095,0.0067715,221161
6J,2024-03-08,0.006772,0.006837,0.0067605,0.00681,215052
6J,2024-03-10,0.0068095,0.0068245,0.0068045,0.0068205,8014
6J,2024-03-11,0.0068205,0.006835,0.0068045,0.006822,115854
6J,2024-03-12,0.006822,0.0068275,0.006755,0.00678,183572
6J,2024-03-13,0.0067805,0.006798,0.006761,0.0067785,147955
6J,2024-03-14,0.0067785,0.006786,0.006743,0.0067445,129685
6J,2024-03-15,0.0067455,0.006758,0.0067055,0.0067095,24816
6J,2024-03-17,0.00671,0.0067125,0.006708,0.006712,108
6J,2024-03-18,0.006709,0.006716,0.0066965,0.006704,777
6J,2024-03-19,0.0067415,0.0067415,0.006646,0.006646,1348
6J,2024-03-20,0.006647,0.0066605,0.006614,0.006653,1295
6J,2024-03-21,0.006657,0.006677,0.006613,0.0066155,1482
6J,2024-03-22,0.006617,0.006645,0.0066075,0.006628,1012
6J,2024-03-24,0.0066255,0.0066395,0.0066255,0.006634,37
6J,2024-03-25,0.006629,0.00664,0.006621,0.006627,432
6J,2024-03-26,0.006628,0.006632,0.0066165,0.006619,285
6J,2024-03-27,0.006618,0.0066405,0.006599,0.006627,959
6J,2024-03-28,0.006625,0.006632,0.0066155,0.006621,314
6J,2024-03-31,0.006623,0.0066255,0.006619,0.0066195,19
6J,2024-04-01,0.006618,0.0066245,0.006601,0.006608,215
6J,2024-04-02,0.006609,0.006615,0.006602,0.00661,234
6J,2024-04-03,0.006611,0.0066135,0.006593,0.0066045,391
6J,2024-04-04,0.006608,0.006625,0.0065975,0.0066175,430
6J,2024-04-05,0.006617,0.006638,0.0065975,0.006603,378
6J,2024-04-07,0.0066015,0.0066015,0.0065985,0.0065985,4
6J,2024-04-08,0.0065985,0.0065985,0.0065885,0.0065915,271
6J,2024-04-09,0.006592,0.0066025,0.0065885,0.0065935,266
6J,2024-04-10,0.006596,0.006596,0.006533,0.006544,688
6J,2024-04-11,0.006539,0.006547,0.006525,0.0065275,364
6J,2024-04-12,0.0065295,0.00655,0.0065225,0.006523,529
6J,2024-04-14,0.006528,0.0065285,0.006528,0.0065285,6
6J,2024-04-15,0.006519,0.006519,0.006468,0.006473,35
6J,2024-04-16,0.0065135,0.006525,0.006488,0.0064905,305
6J,2024-04-17,0.006492,0.006511,0.006489,0.0065015,603
6J,2024-04-18,0.0065,0.0065175,0.0064885,0.006491,258
6J,2024-04-19,0.0064905,0.00653,0.006487,0.00649,949
6J,2024-04-21,0.0064885,0.00649,0.006488,0.006488,17
6J,2024-04-22,0.006486,0.0064885,0.006479,0.006479,147
6J,2024-04-23,0.0064805,0.00649,0.0064775,0.00648,338
6J,2024-04-24,0.0064785,0.00648,0.006455,0.0064565,411
6J,2024-04-25,0.006455,0.006455,0.0064355,0.006441,1108
6J,2024-04-26,0.006439,0.006466,0.0063275,0.0063275,2067
6J,2024-04-28,0.006338,0.006338,0.006325,0.0063335,14
6J,2024-04-29,0.006338,0.006486,0.0062645,0.0064195,2167
6J,2024-04-30,0.006406,0.006409,0.006347,0.006349,813
6J,2024-05-01,0.006347,0.006542,0.0063385,0.0064285,787
6J,2024-05-02,0.006426,0.0065455,0.0064065,0.0065405,734
6J,2024-05-03,0.006545,0.006591,0.006526,0.0065435,573
6J,2024-05-05,0.00655,0.00655,0.006524,0.006524,25
6J,2024-05-06,0.006513,0.0065255,0.0064895,0.0064905,307
6J,2024-05-07,0.0064935,0.006504,0.0064665,0.0064665,447
6J,2024-05-08,0.0064515,0.0064515,0.006429,0.0064385,423
6J,2024-05-09,0.006445,0.006447,0.006414,0.0064355,578
6J,2024-05-10,0.006429,0.0064295,0.0064155,0.006416,300
6J,2024-05-13,0.0064145,0.0064175,0.0064145,0.006415,21
6J,2024-05-14,0.0064345,0.0064345,0.00641,0.006422,90340
6J,2024-05-15,0.006422,0.0065175,0.00642,0.006511,188649
6J,2024-05-16,0.0065115,0.006541,0.0064595,0.006464,169872
6J,2024-05-17,0.0064645,0.0064705,0.006439,0.006453,99275
6J,2024-05-19,0.006453,0.0064565,0.0064455,0.006448,3796
6J,2024-05-20,0.0064475,0.006459,0.0064205,0.0064205,97285
6J,2024-05-21,0.006421,0.0064435,0.0064145,0.006425,104592
6J,2024-05-22,0.0064255,0.0064305,0.0063995,0.0064025,79662
6J,2024-05-23,0.006402,0.006411,0.006383,0.006392,135477
6J,2024-05-24,0.0063915,0.006399,0.006382,0.006393,61397
6J,2024-05-26,0.006392,0.0063995,0.0063915,0.006396,3056
6J,2024-05-27,0.006396,0.0064045,0.0063915,0.006396,37904
6J,2024-05-28,0.0063965,0.006407,0.006377,0.006378,97864
6J,2024-05-29,0.006378,0.0063925,0.006358,0.00636,109246
6J,2024-05-30,0.0063605,0.0064115,0.0063605,0.006385,152794
6J,2024-05-31,0.006385,0.0064025,0.00637,0.0063705,148126
6J,2024-06-02,0.0063735,0.0063785,0.0063695,0.006376,6076
6J,2024-06-03,0.006376,0.0064265,0.0063645,0.00642,194908
6J,2024-06-04,0.0064195,0.0064855,0.0064035,0.0064595,246083
6J,2024-06-05,0.0064595,0.00646,0.0064025,0.0064235,192876
6J,2024-06-06,0.0064235,0.0064465,0.006401,0.0064325,128241
6J,2024-06-07,0.006432,0.0064555,0.0063745,0.006386,168516
6J,2024-06-09,0.0063835,0.0063885,0.0063795,0.006384,6475
6J,2024-06-10,0.0063845,0.0063885,0.006369,0.006374,83846
6J,2024-06-11,0.006374,0.006384,0.0063595,0.006371,102200
6J,2024-06-12,0.006371,0.006428,0.0063595,0.00638,176014
6J,2024-06-13,0.0063805,0.00639,0.0063595,0.0063655,99483
6J,2024-06-14,0.0063665,0.006379,0.0063205,0.0063535,25619
6J,2024-06-16,0.006352,0.0063595,0.006343,0.006346,58
6J,2024-06-17,0.0063485,0.006363,0.006331,0.0063315,1342
6J,2024-06-18,0.0063695,0.0063745,0.0063475,0.006362,528
6J,2024-06-19,0.006365,0.00637,0.00635,0.0063535,121
6J,2024-06-20,0.0063485,0.00635,0.0063135,0.0063135,618
6J,2024-06-21,0.0063125,0.0063225,0.006273,0.006273,914
6J,2024-06-23,0.00628,0.0062845,0.006274,0.0062755,127
6J,2024-06-24,0.0062735,0.006319,0.006273,0.0062845,762
6J,2024-06-25,0.0062845,0.0063,0.0062805,0.006281,207
6J,2024-06-26,0.0062805,0.0062805,0.0062365,0.0062405,780
6J,2024-06-27,0.006242,0.006252,0.006233,0.006235,330
6J,2024-06-28,0.0062365,0.0062555,0.0062145,0.0062315,447
6J,2024-06-30,0.00623,0.006231,0.00623,0.006231,3
6J,2024-07-01,0.0062185,0.00623,0.0061975,0.0062035,319
6J,2024-07-02,0.0062025,0.006212,0.006194,0.006203,373
6J,2024-07-03,0.006201,0.0062315,0.0061865,0.0061955,502
6J,2024-07-04,0.006208,0.0062215,0.0061985,0.006205,172
6J,2024-07-05,0.006216,0.0062415,0.006206,0.006226,436
6J,2024-07-07,0.0062295,0.006232,0.006225,0.006232,23
6J,2024-07-08,0.0062335,0.006246,0.0062165,0.006224,264
6J,2024-07-09,0.0062165,0.0062265,0.006197,0.0062035,465
